"char_ID","char_name","char_female"
1,"Lor San Tekka",0
2,"Poe Dameron",0
3,"Kylo Ren",0
4,"Captain Phasma",1
5,"Finn",0
6,"Unkar",0
7,"Rey",1
8,"General Hux",0
9,"Lieutenant Mitaka",0
10,"Han Solo",0
11,"Bala-Tik",0
12,"Tasu Leech",0
13,"Snoke",0
14,"Maz Kanata",1
15,"C-3PO",0
16,"Leia Organa",1
17,"Snap",0
18,"Brance",0
19,"Major Ematt",0
20,"Admiral Ackbar",0
21,"Admiral Statura",0
22,"Gulch",0
23,"Yolo Ziff",0
24,"Col. Datoo",0
25,"Lt. Bastian",0
26,"Ello Asty",0
27,"Jess",1
28,"Kaydel Ko Connix",1
29,"Vober Dand",0
30,"Tabala Zo",1
31,"Niv Lek",0
